filename,x1_before,x1_after,y1_before,y1_after,x2_before,x2_after,y2_before,y2_after,width_before,width_after,height_before,height_after,skew_before,skew_after,abs_skew_before,abs_skew_after,delta_x1,delta_y1,delta_x2,delta_y2,delta_width,delta_height,delta_skew,delta_abs_skew,abs_delta_skew
v1_711,260,280,404,404,2432,2472,4228,4228,2172,2192,3824,3824,0.34,0.34,0.34,0.34,20,0,40,0,20,0,0.00,0.00,0.00
v1_712,452,468,356,360,2616,2636,4236,4236,2164,2168,3880,3876,-0.74,-0.74,0.74,0.74,16,4,20,0,4,-4,0.00,-0.00,0.00
v1_713,260,284,392,400,2452,2464,4216,4212,2192,2180,3824,3812,-0.85,-0.74,0.85,0.74,24,8,12,-4,-12,-12,0.10,-0.10,0.10
v1_714,432,452,360,364,2592,2612,4184,4192,2160,2160,3824,3828,0.12,0.12,0.12,0.12,20,4,20,8,0,4,0.00,0.00,0.00
v1_715,292,316,348,356,2456,2476,4176,4176,2164,2160,3828,3820,-0.21,-0.11,0.21,0.11,24,8,20,0,-4,-8,0.11,-0.11,0.11
v1_716,432,460,316,320,2588,2612,4140,4140,2156,2152,3824,3820,-0.32,0.11,0.32,0.11,28,4,24,0,-4,-4,0.43,-0.21,0.21
v1_717,264,284,336,336,2420,2440,4148,4152,2156,2156,3812,3816,-0.54,-0.43,0.54,0.43,20,0,20,4,0,4,0.11,-0.11,0.11
v1_718,452,472,396,400,2624,2640,4204,4204,2172,2168,3808,3804,0.32,0.32,0.32,0.32,20,4,16,0,-4,-4,0.00,0.00,0.00
v1_719,252,272,300,304,2432,2456,4096,4104,2180,2184,3796,3800,-0.64,-0.64,0.64,0.64,20,4,24,8,4,4,0.00,0.00,0.00
v1_720,420,440,344,348,2604,2628,4172,4172,2184,2188,3828,3824,0.43,0.64,0.43,0.64,20,4,24,0,4,-4,0.21,0.21,0.21
v1_721,304,320,360,364,2512,2528,4160,4164,2208,2208,3800,3800,-0.85,-0.74,0.85,0.74,16,4,16,4,0,0,0.11,-0.11,0.11
v1_722,364,384,336,332,2548,2568,4136,4144,2184,2184,3800,3812,0.32,0.32,0.32,0.32,20,-4,20,8,0,12,0.00,0.00,0.00
v1_723,232,256,348,352,2408,2420,4144,4144,2176,2164,3796,3792,-0.21,-0.11,0.21,0.11,24,4,12,0,-12,-4,0.11,-0.11,0.11
